,ｃｃｂ,ｉｃｂｃ,ａｂｃ,ｂｏｃ
USD,美元,美元(USD),美元(USD),美元
EUR,欧元,欧元(EUR),欧元(EUR),欧元
GBP,英镑,英镑(GBP),英镑(GBP),英镑
JPY,日元,日元(JPY),日元(JPY),日元
HKD,港币,港币(HKD),港元(HKD),港币
AUD,澳大利亚元,澳大利亚元(AUD),澳大利亚元(AUD),澳大利亚元
CAD,加拿大元,加拿大元(CAD),加元(CAD),加拿大元
CHF,瑞士法郎,瑞士法郎(CHF),瑞士法郎(CHF),瑞士法郎
SGD,新加坡元,新加坡元(SGD),新加坡元(SGD),新加坡元
KRW,韩元,韩元(KRW),韩元(KRW),韩国元
DKK,丹麦克朗,丹麦克朗(DKK),丹麦克朗(DKK),丹麦克朗
CHF,瑞典克朗,瑞典克朗(SEK),瑞典克朗(SEK),瑞典克朗
NOK,挪威克朗,挪威克朗(NOK),挪威克朗(NOK),挪威克朗
NZD,新西兰元,新西兰元(NZD),,新西兰元
MOP,澳门元,澳门元(MOP),澳门元(MOP),澳门元
MYR,马来西亚林吉特,林吉特(MYR),,林吉特
THB,泰铢,泰国铢(THB),泰铢(THB),泰国铢
ZAR,南非兰特,南非兰特(ZAR),,南非兰特
RUB,俄罗斯卢布,卢布(RUB),,卢布
KZT,哈萨克斯坦坚戈,哈萨克斯坦 坚戈(KZT),,
PKR,,巴基斯坦卢比(PKR),,
AED,,,,阿联酋迪拉姆
BRL,,,,巴西里亚尔
IDR,,,,印尼卢比
INR,,,,印度卢比
PHP,,,,菲律宾比索
SAR,,,,沙特里亚尔
TRY,,,,土耳其里拉
TWD,,,,新台币
